Query Description,ProblemStatement,Closure Comment,InternalRCA
Unable to generate Database Report,"I am unable to generate the Database Report from HMT of Development Environment. It is showing the error ""Could not find stored procedure 'wfhealthcheckup'"".
I have attached the error screenshot and the logs for the same. Kindly provide the guidance for this issue. Please connect with vansh.rajput@newgensoft.com regarding this.",Kindly execute the wfhealthcheckup Stored procedure available in database scripts folder inside HMT setup in your associated database and check.,
After Adding Data In listviewWorkitem isn't saving,,"As discussed, kindly check your mapping of grid.","As discussed, kindly check your mapping of grid."
"Not able to create WI , after click on New button",,"As checked over teams post following steps now the reportd issue is resolved.
1. Run the query ""DELETE FROM USERPREFERENCESTABLE WHERE ObjectType='U'"" and userid='';


Note:- Kindly take the backup of your USERPREFERENCESTABLE before manipulating it.","As checked over teams post following steps now the reportd issue is resolved.
1. Run the query ""DELETE FROM USERPREFERENCESTABLE WHERE ObjectType='U'"" and userid='';


Note:- Kindly take the backup of your USERPREFERENCESTABLE before manipulating it."
Document view error in the mobile app,,The document can't be opened in Mobile browser. Either use omnidocs mobile app or oe omniprocess web in a desktop browsers.,
getting error in getBrowserScrollSize function,"We are getting error in getBrowserScrollSize function as  
'Cannot read properties of undefined (reading 'top')'",Client unable to replicate the issue.,
MDM issue,MDM issues,"1.There is no issue in approving the uploaded data in MDM. 
2. Table Lock symbol denotes that the uploaded data has not been approved yet. Due to the lock symbol, there is no issue in uploading/approving the data.",
Attachment wth Password Protection,,"As discussed, you can send your password protected document.","As discussed, you can send your password protected document."
Distortion of grid column width,Some column of table getting distorted incase of no data added for these columns,Please deploy hotfix IBPS5.2.1_212,Bug 126622- width of table not getting resized
WFTRANFERDATA procedure not work,,"Reporter not available, kindly raise new ticket when available","Reporter not available, kindly raise new ticket when available"
In Omniapp Portal journey related issue,,custom code issue,"Custom code issue , userindex 23 was getting passed in fikeupload url"
Not able to import Queue Variables,"Trying to import queue variable from another environment, giving error ""Unknown error 801"".","Code fix has been shared, if user have used same complex table in two different queue variables and exporting one queue variable will cause issue. Data of other queue variable was getting exported too which cause issue. Latest hotfix location for the same is :- OmniRules/public_html/IBPS 5.X/iBPS 5.0 SP1/Patches & Hotfixes/iBPS_5.0_SP1_02_096. Kindly deploy this into the exporting server and If still issue is persist then raise a fresh ticket for the same.","Code fix has been shared, if user have used same complex table in two different queue variables and exporting one queue variable will cause issue. Data of other queue variable was getting exported too which cause issue. Latest hotfix location for the same is :- OmniRules/public_html/IBPS 5.X/iBPS 5.0 SP1/Patches & Hotfixes/iBPS_5.0_SP1_02_096. Kindly deploy this into the exporting server and If still issue is persist then raise a fresh ticket for the same."
Need to Load the fields wrt Tab,"Is there a way, to load the fields under the tab/section only when it is clicked?? If yes how to implement the same. Please provide user manual/video for the same and also enlighten us by answering that whether it be a good practice to reduce form load timing and better performance??",Issue resolved after sharing the required document to the client over MS Teams.,
Form is not visible in Form list,Form is not visible in the form list of the process designer,deploy the hotfix: IBPS5.3.0_067.,chnages in idesign.xhtml and ifgeneral.js
Register Template page is showing http error 403.,"On clicking the template from register template section on process designer , it is giving http error 403.","While providing the argument manually, client mistakenly added some spaces inside the argument fields of registered template for which regex got rejected and 403 error appears. Now after removing unwanted spaces, it is working fine.","While providing the argument manually, client mistakenly added some spaces inside the argument fields of registered template for which regex got rejected and 403 error appears. Now after removing unwanted spaces, it is working fine."
Form loading issue,Form is not opening.,"As discussed, closing the ticket due to unavailability of the env.
Kindly raise the another ticket when it's available or you can connect with me before raising.",NA
workitems not moving automatically,"Client needs auto movement  of workitems in Account Opening process from welcomekit to cheque book requisition , so i have set on  welcomekit workstep  Expires After  and expiry service is also register but workitems are not moving","As discussed, after updating expiry configuration in process designer with mapping variable, workitem is expiring successfully and routing to further workstep.","As discussed, after updating expiry configuration in process designer with mapping variable, workitem is expiring successfully and routing to further workstep."
Refresh the Document List on runtime.,,"As you're using custom button to upload the document and wants to refresh the document list, kindly deploy ibps 4-sp1-04 and call function refreshDocumentListExt().

current version: iBPS_4.0_SP1_01_000",
Omniapp SSO logout url is not working.,unable to logout using sso,As checked over teams now the issue is resolved,As checked over teams now the issue is resolved
need webscan.war file,,Provided user with latest hotfix of scan.war and plugin. Provided the changes needed in IBPS configuration file for enabling scan button.,
The Header is getting distorted on Expanding/Collapsing Layout,Headers are not stable on form,"Please add empty cell on form for header below coming logo issue,spacing and deploy hotfix IBPS5.2.1_224",Fixed Bug 125809 - Headers are not stable
PS Not Wroking Properly,,"As checked, wmcreate getting failed for 2 WI, after correcting data, issue resolved","As checked, wmcreate getting failed for 2 WI, after correcting data, issue resolved"
multiple row getting add on modify click,,Wrong issue registered so discarding.,
Escalate to with Trigger,"We need to use ""Escalate to with Trigger"" to send an email when WI is on the same workstep for a defined period. We have used this method in process designer but we are not able to move forward. We need some help to know how to execute the same on WI and how this methods works, where we can check in which table with logs.",As discussed you need to schedule a procedure WFEscalateWorkitem procedure to move entry of workitem from WFEscalationTable to WFMailqueuetable. If have any doubt connect me over msteams.,As discussed you need to schedule a procedure WFEscalateWorkitem procedure to move entry of workitem from WFEscalationTable to WFMailqueuetable. If have any doubt connect me over msteams.
SMS is not working Unable to add docs in omnidocs.,,Issue occurred due to incorrect Label which is not present. Please use the correct label for issue resolution.,
"Error-""string or binary data would be truncated""","We have encountered the ""string or binary data would be truncated"" error specifically when using your product over the internet but not on an intranet. 

And the issue is that we cannot login to OmniApp through the internet, but we are able to login to OmniDocs through the internet.

Kindly provide the possible solutions ASAP.

Environment/Product Details: Jboss EAP 7.0, JDK 8, OmniDocs 9.1 SP2, iBPS 3.0 SP2.","As checked there is no logs attached for analysis .So, kindly attach proper logs for any  ticket in future  .As discussed the issue is coming due to size .So, need to be check by network team.","As checked there is no logs attached for analysis .So, kindly attach proper logs for any  ticket in future  .As discussed the issue is coming due to size .So, need to be check by network team."
SP3 upgrade from iBPS_5.0_SP0_01_015,,"Latest Hotfix above SP3 for iform is iBPS_5.0_SP3_00_007 FTP Location: /OmniRules/public_html/IBPS 5.X/iBPS 5.0 SP3/Patches & Hotfixes/IBPS_5.0_SP3_00_007.
Please connect with respective team to get each module hotfix.",
Query regarding document download,Is there any way to get the original file name while downloading instead of the Document type defined in the process?,"As checked, use case is handled by client itself by storing the original document name in a invisible column and fetching it while downloading and that is fine.",NA
Some of the groups are not showing.,,"In the latest versions only those user and Groups will be visible whose parent Group are same. kindly change or choose the parent group accordingly from OD. e.g. Assume we have User (U1) and Group (G2) ,these will be only visible on User Interface if their parent group will be the same.","In the latest versions only those user and Groups will be visible whose parent Group are same. kindly change or choose the parent group accordingly from OD. e.g. Assume we have User (U1) and Group (G2) ,these will be only visible on User Interface if their parent group will be the same."
Requested Operation Failed,,wrongly reopen,"As checked, getting invalid identifier in logs, kindly check the mapping of your variables in the process"
Picklist gives error if select the items,"When we select the items in picklist getting error like this ""Some error occured at server end please check logs"" as we have checked iformViewer logs which is attached kindly check",Issue is resolved by client itself.,NA
Not able to expand rte,Not able to expand rte,"FTP Path:
https://ftp.newgen.co.in/~OmniRules/IBPS%205.X/iBPS%205.0%20SP3/Patches%20&%20Hotfixes/Specific_Hotfixes/IBPS5.3.0_056/",Duplicate
Can we show notification for PWA installed app,,Currently in product no such provision so not feasible,
List Box showing data when unselected,"List Box data is not getting cleared when we are unselecting the options inside it . It is showing as options selected instead of ""None Selected""",Issue is due to toggleMultiselect function defined in your custom js. Resolved after modification in custom code.,
Check compatibility of ibps with security patch,,We have not seen any issues from security patches deployment on OS. As such we do not foresee any problem. Please take backup of the server for any unavoidable circumstances.,
Performance Test Query on iBPS SP3,,Sandeep will share the required reports over the mail.,
Hyperlink not accessible from generated report.,,Suggested the user to use the external link.,
OF to IBPS5 upgrade axis2 connect api not working,"We have upgraded from of10.3 sp2 to IBPS5 sp3 . we want to run existing product api  from axis2 , so we test connect api we are not able to getting error. attached soap request and response and log of weblogic server. Please suggest configuration to run api in Axis2","Tried connecting with reporter but did not get any response.Please raise a new ticket with all the analysis ,when available.","Tried connecting with reporter but did not get any response.Please raise a new ticket with all the analysis ,when available."
Email trigger supported Arabic Issue,Arabic is showing in HTML template inserted in mail trigger but when mail is sent to the user arabic is showing as ??????????,"As discussed, there is no issue from product end. We have verified by triggering one sample mail in Arabic through product mail trigger as well. Issue is found in mail trigger defination. Kindly define mail trigger without using html tags as it is internally implemented by product. Kindly refer the sample mail attached in ticket for reference which is triggered through product in Arabic language.","As discussed, there is no issue from product end. We have verified by triggering one sample mail in Arabic through product mail trigger as well. Issue is found in mail trigger defination. Kindly define mail trigger without using html tags as it is internally implemented by product. Kindly refer the sample mail attached in ticket for reference which is triggered through product in Arabic language."
Internal File Path Disclosure,,resolved,
No error message is displayed if wrong date format,"OmniApp: When Wrong Date format is selected and Clicked on Generate, no error message is being displayed. Please add an error message",Will provide the fix on thrusday,NA
Err: refresh button in the generated report screen,OmniApp: Error is being displayed when user clicks on 'refresh' button in the generated report screen. Check Screen Shots,Fix provided in hotfix IBPS5.0_sp3_000_010,NA
How to refresh Document Viewer on Some Event.,"1. I am getting a list of document from  OD using get Document Call  and copying it now problem is that updated list of document is not visible on my iform document viewer and when I try to reopen the iform documents are visible .
2. Therefore If I need to refresh the document Viewer how can I do it.","Call below function  to refresh the document list from your custom code. 

 

window.parent.refreshDocumentListExt();","Call below function  to refresh the document list from your custom code. 

 

window.parent.refreshDocumentListExt();"
Error displayed when filter data in Reports,OmniApp: Showing error when trying to filter data in a report after Generated,already provided fix on the latest iBPS5Sp3_00_010,code fix
Not able to upload document,Document is not getting uploaded for lengthy document name but it has accepeted that length while creating document name in process designer. Its is uploading for lesser length documents. Kindly help in resolving this,Please register CQRN once the environment is available.,NA
Need to Remove Add From OmniDocs and Scan Document,Need to Remove Add From OmniDocs and Scan Documents option from Document List,"To remove ""Add From OmniDocs"" option, add or update the flag ShowAddDocOption=N in webdesktop.ini and cabinet specific ini if exist.

 

To remove ""Scan Document"" option, add or update the flag ShowScanDocOption=N in webdesktop.ini and cabinet specific ini if exist.

 

Restart server and check.",NA
Unable to register component,"We are trying to register a component inside omniapp configuration but on selecting Application and Component from dropdown, Component Name and description fields are coming as disabled when we click on Next without filling them and coming back then they becomes editable but after filling them Next button click is not working. Have attached screenshot & network logs for same.","As checked over teams the  updated files are shared pls deploy and check and update.getcomponentlist.jsp
getcomponentdefinition.jsp",Duplicate
Unable to unlock workitem from User Desktop,"Unable to unlock workitem from User Desktop. There is no option to unlock it. I have added the screenshot for the same.
iBPS Version: iBPS 5 SP2 Patch 1","Unlocking workitem is a admin operation and will be achieved from admin user in business admin view on searching the workitem.

Note: Please provide the unlock rights from process client worklist and check.",NA
Giving error while creating complex query,,"As discussed, there are some keywords that are restricted, please do not use them. you will find those keywords in sqliconf.properties file",
"In Previous ibps version, document list were shown",,As per the iBPS product specifications the document list cannot be viewed same as older iBPS version.,As per the iBPS product specifications the document list cannot be viewed same as older iBPS version.
Work item created by maker is not reflecting,Work item created by maker is not reflecting to checker for some users,"As checked over teams post following steps now the reportd issue is resolved. 1. Run the query ""DELETE FROM USERPREFERENCESTABLE WHERE ObjectType='U'"" and userid=''; Note:- Kindly take the backup of your USERPREFERENCESTABLE before manipulating it.","As checked over teams post following steps now the reportd issue is resolved. 1. Run the query ""DELETE FROM USERPREFERENCESTABLE WHERE ObjectType='U'"" and userid=''; Note:- Kindly take the backup of your USERPREFERENCESTABLE before manipulating it."
We need to fetch the data from table.,Getting getDatafromgrid undefined in js,Use java api getDataFromGrid to fetch grid data present in grid.,
small description - Open URL in new browser TAB,"description - http://192.168.154.74:8080/webdesktop/login/mailloginclient.app?&CalledFrom=OPENWI&pid=IOCLPRETENDERING-0000000356-Process&wid=1&SessionId=1145538850&UserIndex=3&UserName=badmin&CabinetName=uatiocl&TransactionID=IOCLPRETENDERING-0000000356-Process&OAPDomHost=192.168.154.74:8080&OAPDomPrt=http: 
when we are opening this URL it is opening in New Window, how we can open in new browser tab ?",Please call the url with reference window.open and check,NA
Unable to see documents on end event,Unable to view document.,Please provide the rights on the query workstep and exit workstep from process Designer and delete the wdtemp folder and check.,NA
Turn Around Date Time,"IBPS 5 sp2
In a particular business use case need to show real time TAT timer in Queue view, so can we achieve that using any product functionality.
Also how we can set value in Turn Around Date Time field of queue view on the basis of entry date time.",Real time TAT timer in Queue view is not available in product now.,NA
In NEFT Workflow Webdesktop not showing Properly,,"As checked, server is configured with iBPS 5.0 SP3. But some deployable files including webdesktop, were of iBPS 5.0 SP2 patch 1. After deploying correct files from iBPS 5.0 SP3, webdesktop deployed successfully and able to login into omniapp.
Facing issues in some modules, for that please upgrade your cabinet from ofservices and check the login after that. If any issue occurs, please register a new ticket and ping on Teams. We will check.",
Security Testing Report,Query for Security Testing Report of iBPS 5.0 SP02_01.,Kindly connect with Chetan Gupta/Sandeep Kumar Singh for same. Informed both to provide report over mail.,Kindly connect with Chetan Gupta/Sandeep Kumar Singh for same. Informed both to provide report over mail.
Unable to save workitem using Save button in iBPS,"We are using JBoss 7.3 and iBPS 5.0 SP2. We have configured a list view and a picklist to fetch data for the table. After adding a row in the list view, we are trying to save the workitem but getting an error stating some error occurred at server end as shown in the screenshot.","As discussed , environment is not available to showcase the issue. Kindly raise ticket when environment is available for analysis.",
Unable to open a custom jsp using iFrame in iBPS,We are using JBoss 7.3 and iBPS 5.0 SP2. We are trying to add an iFrame to the iForm in order to open a custom jsp in a frame. We have given the source url in iFrame properties as shown in the screenshot and tried opening workitem but jsp is not getting loaded with no error in console. Please refer  error logs and screenshots attached and help us fix the issue.,"As checked, please enter valid and accessible URL while using iFrame feature.",NA
Form not loading at any workstep,Form is not loading at any of the workstep even when comment out all the form load code.,CLient resolved at own,NA
WEB APPLICATION SECURITY REPORT,,Justification report shared over mail for the reported vulnerability.,
Unable to input more data in RTF,How to modify no. of characters that can be entered in Rich Text Editor.,"function maxCharacterLimitForRichText(id){
    
    // return no of characters allowed as per condition based on id of the field
    return -1;

}","function maxCharacterLimitForRichText(id){
    
    // return no of characters allowed as per condition based on id of the field
    return -1;

}"
Unable to checkout Workflow in UAT,,"As discussed, getting no method found error, kindly check your env","As discussed, getting no method found error, kindly check your env"
Application Security points,,These are custom changes and not Product.,
Issue in seeing assigned workitems in common queue,,"Its not a valid requirement for a normal user as workitem once fixed assigned to any worker user, its moved to his My Queue. Now it will not be visible in actual queue. For Admin user, if he wishes to view it for tracking purpose, he can configure iBPS Search workitem feature where he can save his search query based on Process and activity selection.","Its not a valid requirement for a normal user as workitem once fixed assigned to any worker user, its moved to his My Queue. Now it will not be visible in actual queue. For Admin user, if he wishes to view it for tracking purpose, he can configure iBPS Search workitem feature where he can save his search query based on Process and activity selection."
layout problem,,"As discussed, expand layout and collapse layout option will be not visible in case of one interface view is present in desktop browser.",
Not able to Edit Max Lengh in Portal Interface.,Not able to modify maxlength of unmapped field,Please deploy hotfix IBPS5.2.1_211,Not able to modify maxlength of unmapped field
Need NGLogger document to Implement.,Need a document from product team to implement NGlogger in custom hook.,Document has been shared over teams with the report. Please refer the same.,Document has been shared over teams with the report please refer thesame.
iBPS integration with AS400,,Products are not supported with AS400.,
login page issue,,This feature is not feasible to scroll button when login in zoom out case.,
Unable to add data in table,,Product team asked to upgrade the iBPS version as they will not be able to provide hotfix at very low version.,
How to call a java function from route,Reporter wants to call java function from custom code.,"Shared document for custom ejb deployment. Kindly follow the document and in case of further query, connect over Teams.","Shared document for custom ejb deployment. Kindly follow the document and in case of further query, connect over Teams."
need setup for two factor authentication,,Please raise separate ticket again with select the correct module.,
Dropdown Issue in Advance Listview.,Unable to fetch Description based on short code in Advance ListView,We have not received any response following the reminder email that was sent. Kindly raise ticket when you are available to connect for discussion.,
need to add translation in BAM,,OK,
Jboss is getting stopped .,"Jboss is getting stopped since today morning after restart also it is getting stopped and receiving error in the logs:-ERROR [org.jboss.as.ejb3.timer] (EJB default - 2) WFLYEJB0029: Could not restore timer from /home/ibpsnewgenuser/JBOSS4IBPS/jboss-eap-7.2/standalone/data/timer-service-data/wfs_timer_ejb.wfs_timer_ejb.TimerServiceBean/4162410f-273c-452d-bacf-ec49b9a95a2a.xml: com.ctc.wstx.exc.WstxEOFException: Unexpected EOF in prolog
 at [row,col {unknown-source}]: [1,0]",As discussed issue is coming due to timer data get corrupted .After deleting timer data its get resolved.,As discussed issue is coming due to timer data get corrupted .After deleting timer data its get resolved.
Application logs are not getting printed in serve.,Application logs are not getting printed in server logs. We are getting log4j error in server logs.,"As discussed SysOut is not the part of nglogger or product it is java functionality and need to check in java code only .
As per log4j errors are concerned those are not dependent to SysOut and DailyRollingFindAppender class is not written in log4jConfig.xml but could be customised.
Please check as it seems custom code issue.","As discussed SysOut is not the part of nglogger or product it is java functionality and need to check in java code only .
As per log4j errors are concerned those are not dependent to SysOut and DailyRollingFindAppender class is not written in log4jConfig.xml but could be customised.
Please check as it seems custom code issue."
Increase document size upt 100MB,Client has raised a request to accomodate pdf documents with size upto 100 MB. Kindly advice on the fesability.,"Please return the value in the below function in client.js of webdesltop.war\resources\scripts and take the restart of the Application Server and check.

function getUploadMaxLength(strprocessname, stractivityName, docType)
{
   
      return 10;
}",NA
Done Option Enabled For Introduction Queue Cases,,As discussed over teams the check from web is implemented and the assign to me option is disabled from web on search WI. If queue right is not present to user and onclick of Assign to me some error should occured from backend.,As discussed over teams the check from web is implemented and the assign to me option is disabled from web on search WI.
Process designer and wi are not opening.,"Process Designer is not opening. we have done some analysis and found StringIndexOutOfBoundsException Exception. Also, We are not able to inititate the new workitem as we are getting error The requested filter is invalid in iFormViewer logs.","As discussed, Kindly raise a new ticket for process designer not opening. Also for this ""We are not able to inititate the new workitem as we are getting error The requested filter is invalid in iFormViewer logs"" Kindly generate a ticket for web desktop team.","As discussed, Kindly raise a new ticket for process designer not opening. Also for this ""We are not able to inititate the new workitem as we are getting error The requested filter is invalid in iFormViewer logs"" Kindly generate a ticket for web desktop team."
new button disabled,Please provide the rights of new button orm for process client worklist object and check,Please provide the rights of new button orm for process client worklist object and check,Please provide the rights of new button orm for process client worklist object and check
Error communicating with the server,whitelistening 403 issue,Provided whitelist  troubleshooting documents.,NA
BRMS Conflict Resolution issue.,"After sucessfully upgrade the BRMS,We are again facing the issue ""Conflict Resolution""",Resolved by their own.,n/a
"Download Report(.csv, .xlsx, .txt) shows blank dat","We are working on IBPS 5 (SP3). While saving/ downloading a report in report designer with extension (.csv, .xls and .txt), we are getting blank data in the downloaded file(size of the downloaded file is 0kb). Whereas, while saving/ downloading the same report with extention(.html), we are getting proper data in the downloaded file. Have attached xml logs of bam_web consisting Report generation and have attached Screenshot of  Report Designer, Downloaded reports Size, etc.","Provided the latest trouble shooting guide.

Please do the analysis for TXT and CSV also",NA
Procedure is not getting called from the Entry set,"Unable to execute custom stored procedure using WFInvokeDBFuncExecuteString. Error being generated, ""Too many arguments specified"".","As checked, outut parameter was not declared in custom stored procedure. Provided document for the same.","As checked, outut parameter was not declared in custom stored procedure. Provided document for the same."
Error in unlocking the instruments.,Error in unlocking the instruments. Blank pop up is comming on unlocking the instruments screenshot is attached,change in unlock.app.xml file of webdesktop,Whitelist issue in unlock.app.xml file of webdesktop
Query regarding Web Service Workstep,"We have IBPS 5.0 SP2 Patch 1 deployed. Please provide the following details.
1) Is there support for the complex variable in Forward and Reverse mapping
2) In input of the Rest API , we have nested JSON (attched  with this ticket named ""complexJson.txt"") , pleae check if we can use Web Service workstep which will support such nested JSON as input
3) Is Get method supported on the web service at web service workstep
4) Is Put method supported on the web service at web service workstep
5) Is Query parameter supported on web service workstep ? ie dynamically we need to add query parameter in end URL itself for example http://URL/name?paramname=paramValue
6) If not supported on iBPS 5.0 SP2 Patch 1, then on which iBPS version above all are supported",Required  document has been shared kindly go through the document.,Required  document has been shared kindly go through the document.
Defect in global queue,,"As discussed, kindly use Advance search for searching workitem using Global queue","As discussed, kindly use Advance search for searching workitem using Global queue"
In Arguments only few entities are visible.,While Creating a rule and adding Entities to the arguments . Only few entity parameters are visible and remaining is not visible.,provided hotfix iBPS_5.0_SP2_P1_026 . This issue is resolved in this hotfix.,code fix
Not able to Delete the rule,Rule is not opening in the  package .,Rule was not opening . Delete action performed with the help of queries to delete rules from DB.,n/a
Work item created by maker is not reflecting,,Please share relevant logs and screenshots with L1/L2 analysis.,
Unable to modify user id MARY22767 in MDM; Further,,we have corrected the status fom backend this time . Will keep this issue under observation .,"this issue occurred as the maker checker functionality  got disable somehow after modifying the table . since the checker was not able to view any pending items in its queue , any further modification on the same table was not happening due to lock on database table . we have to change thevalue of status column in cfinfotable  for the concerned table . we will keep this case under observation ."
Unable to checkout the process,,As checked a column was missing from the table due to which checkout was interrupted.It was resolved by appending the same at reporter end.,As checked a column was missing from the table due to which checkout was interrupted.It is resolved by appending the same at reporter end.
deletion of uploaded document,,"1. For User who uploaded the document to delete the document , update DeleteDocByOwnerOnly=Y in  webdesktop.ini/ cabinet specific.ini 

2. For other specific user to delete the document . Use function deleteDocument in client.js (webdesktop.war)",
Concern in Report Generated,"In a report with User input from picklist with Multiple selection when input is 01,02 we are not getting any result athough there should be 2 rows in the result. When we checked the logs query parameters are going incorrect as '0102' in place of '01','02'.Secondly when we are going for change input we are getting error ""Unknown error occurred. Please contact your administrator """,Will provide the code fix on thrusday,NA
Mail Trigger with Accept/Reject Button,"There is a customer requirement where we need to initiate mail trigger to users which will  include workitem documents and Accept/Reject Button in Mail Body , based on click of Accept/Reject Further Routing to done.
Please let us know the feasibility if it is achievable through Process Designer.
If yes , Please share related document to configure this.",As discussed there is no functionality from where we can initiate mail trigger to the users which includes Accept/Reject button in the Mail Body. If this requirement is necessary and the client is asking for the enhancement then kindly raise a new ticket with the requirement type.,As discussed there is no functionality from where we can initiate mail trigger to the users which includes Accept/Reject button in the Mail Body. If this requirement is necessary and the client is asking for the enhancement then kindly raise a new ticket with the requirement type.
Issue while log into OFServices,Not able to login in ofservices,As checked over teams the updated supervisor user credential has been shared over mail. Please take the restart of the Application server and check.,NA
Restrict user to import pdf,"we need  guidance is it feasible in omniapp .we have document import option where we can import document.
But we need to restrict user to import .pdf format and if it is feasible please guide how to do implementation.","To put validation on document upload, pls make custom change in below function in client.js file present at location(webdesktop.war\resources\scripts\) and take the restart of the Application Server and check

 

 

function validateUploadDocType(docExt,DocTypeName)

{

//check doc extension and return false from the function in case of undesired file extension 

 

if(docExt == ""pdf"")

{

                return false;

}

                return true;

}",NA
Showing duplicate columns in conditions and action,"when we click on modify button while creating new rule, the columns of conditions and action tab get duplicate. Please guide","Rules not getting saved properly , saved the changes step by step rules got saved.working fine now.",n/a
Grid is not exploding.,There is a advance list view on form which is not exploding most of the time and appearing as blank. We have to save close and open the workitem again but then also sometimes its not exploding. We have tried checking the logs and also done the mapping again but still getting the issue. Please connect to check this as the its raised by the customer again.,"As checked, for now issue is not generating. Please connect if issue still persists.",NA
List Box showing data when unselected,"when we unselect all the options in listbox , the options get unselected but its still showing as selected in listbox field",Issue was due to custom code. Issue resolved after modification to the  custom code.,NA
Method for custom code in iBPS mobile app,,asyncOperationWithData can be used to parameterised the same function,
Query regarding process variable mapping,Sorting and searching feature is provided till var_Str_8 only and providing it over var_Str_8 is not feasible.,Sorting and searching feature is provided till var_Str_8 only and providing it over var_Str_8 is not feasible.,Sorting and searching feature is provided till var_Str_8 only and providing it over var_Str_8 is not feasible.
We need to remove Done button from the worklist.,We need to remove Done button from the worklist.,"To disable done/introduce button from workitelist return false in below function and take restart of the Application server clear browser cache and check

 

function enableDone(strSelQueueName,strFrom,strProcessName,strActivityName){

    return true;

}

function enableInitiate(strSelQueueName,strFrom,strProcessName,strActivityName){

    return true;

}","To disable done/introduce button from workitelist return false in below function and take restart of the Application server clear browser cache and check

 

function enableDone(strSelQueueName,strFrom,strProcessName,strActivityName){

    return true;

}

function enableInitiate(strSelQueueName,strFrom,strProcessName,strActivityName){

    return true;

}"
Unable to ungroup the controls.,"As checked, We have grouped certain controls in the listview of the process.  We are trying to ungroup the controls to place the new control inside it. But when we are trying to ungroup the controls, we are facing an issue called ""server error"". Please check the issue as soon as possible and resolve the same with priority. Attached screenshot and logs for your reference. For your information, Application server is JBOSS EAP 7.1.0 and linux environment. 
Version : IBPS 4.0","As checked, there was existing issue of grouping that might be carried forward from older version before iBPS_4.0_SP0. After removing group id from concerned grid xml, grouping and ungrouping is working fine.",NA
IBPS 5.0 SP3 Upgrade,,"Distributed package of iBPS5.0PS3 is available in production. Please deploy as a fresh installation as per your architecture. Refer pre-requisite for compatible OmniDocs version of OD11.0SP1 and associate old cabinet and then upgrade from OSA and ofservices for OD and iBPS respectively.
Please connect with thomas@newgensoft.com for the package.",
WFSSelectWithColumnNames_Input Call is not working,,Duplicate ticket,Duplicate ticket
Need to change process name and tables name.,We want to change our process name and table names.,Discarding the ticket because the client is not responding due to which not aware of this issue at all.,Discarding the ticket because the client is not responding due to which not aware of this issue at all.
User Desktop layout is not coming correctly,,"Below is the Screen Resolution for iBPS 5 SP1 version.

Screen resolution 1366 X 768.

Screen Resolution should be 1366 X 768, after modifying the resolution from the display setting. User Desktop layout is coming correctly.",
Workitem not able to unlock from omniapp,"We are unable to unlock two DMS work item and as showing in read only status and locked in Branch location notification queue. I had tried to unlock these cases but it throws error - ""Request filter is invalid"", I had attached snapshot for your reference, kindly do the needful , along with that I had analyze the logs OAP, ORM , and server logs there, didn't identified , what is the reason for the same. we have webex access now. please do the needful.",As checked workitem was not moving to the next workstep because it got locked by some other user. it was resolved after updating it's lockstatus to N,As checked workitem was not moving to the next worlstep because it got locked by some other user. it was resolved after updating it lockstatus to N
setFocus not working for rich text field ,Required setFocus feature in Froala Rich Text Editor.,Third party Froala Rich Text Editor does not support setFocus functionality.,NA
Get information on recent workitem opened by user.,Query related to product API for fetching workitem details recently opened by user.,"As discussed, no such API exists for fetching workitem which was recently opened by user.","As discussed, no such API exists for fetching workitem which was recently opened by user."
Error in saving duplicate row in advance listview,"I am adding a duplicate row in advanced list view but while submitting or saving the workitem I am getting the error as ""Some Error occurred at Server End"".","As discussed, reporter has used the same table's column in mapping and relation of complex type. After fixing this, issue is resolved.","As discussed, reporter has used the same table's column in mapping and relation of complex type. After fixing this, issue is resolved."
Queries regarding queues,"Env Details iBPS 5.0 SP3
We have below client requirements:
1. We are having end & discard worksteps in our process. We want to show all the completed workitems present at end so, that users can access them easily. So, can we create a separate queue for it?
2. We are having 4 worksteps in the form of 4 workdesks. Can we create a combined queue for them so, that the workitems are available in each of the workdesk's corresponding queues and also available in the combined queue.
3.Can a workitem be shown in my queue as well as in the workstep's queue simultaneously?",As discussed over teams the separate CQRN for the reported point is already registered with Product.,As discussed over teams the separate CQRN for the reported point is already registered with Product.
Upgrading IBPS,Issue related with Upgrade scripts of iBPS.,Provided upgraded scripts for iBPS 5SP1_02. Kindly connect over teams for further query.,Provided upgraded scripts for iBPS 5SP1_02. Kindly connect over teams for further query.
Language translation issue for product variable.,,"As discussed, providing fix over iBPS_5.0_SP1_02_000 is not feasible Due to major code change for the reported issue. Please make a plan to upgrade the project iBPS_5.0_SP1 to ibps 5.0 sp3.",
setValues API does not work for Custom Control ID.,setValues api not working for custom control field.,Issue was resolved after chainging value N to Y of  useCustomIdAsControlName flag in iformsconf.ini,NA
We are not able to fetch HMT report.,We are not able to fetch HMT report in HMT2.0 in travellers Dev App server,"HMT tool is not feasible in case of only omnidocs standalone ,it requires iBPS also (Minimum iBPS 3 SP 1). Kindly go through the HMT manual for prerequisites to install HMT.",
user  management is showing error,"when ever we click on next button in user management it is showing ""Request filter failed""",As checked its known issue for this code level changes has been shared with the reporter. You will find the code fix in patch  iBPS5.0Sp3_01,As checked its known issue for this code level changes has been shared with the reporter. You will find the code fix in patch  iBPS5.0Sp3_01
